T [K]	C_p [J/m^3/K]
226.1	1326957.5437827315
226.2	1326986.2442959053
226.3	1327014.9076551339
226.4	1327043.533924127
226.5	1327072.1231664598
226.6	1327100.6754455725
226.7	1327129.1908247694
226.8	1327157.669367221
226.9	1327186.1111359634
227.0	1327214.5161938977
227.1	1327242.884603793
227.2	1327271.2164282838
227.3	1327299.5117298735
227.4	1327327.7705709303
227.5	1327355.9930136928
227.6	1327384.1791202652
227.7	1327412.3289526221
227.8	1327440.4425726063
227.9	1327468.520041929
228.0	1327496.5614221718
228.1	1327524.5667747853
228.2	1327552.5361610907
228.3	1327580.469642279
228.4	1327608.3672794127
228.5	1327636.2291334246
228.6	1327664.0552651186
228.7	1327691.8457351723
228.8	1327719.6006041334
228.9	1327747.319932422
229.0	1327775.0037803315
229.1	1327802.6522080286
229.2	1327830.2652755524
229.3	1327857.8430428156
229.4	1327885.3855696067
229.5	1327912.8929155853
229.6	1327940.3651402888
229.7	1327967.8023031275
229.8	1327995.204463387
229.9	1328022.5716802287
230.0	1328049.904012691
230.1	1328077.2015196863
230.2	1328104.464260005
230.3	1328131.6922923133
230.4	1328158.885675156
230.5	1328186.0444669528
230.6	1328213.1687260035
230.7	1328240.2585104841
230.8	1328267.31387845
230.9	1328294.3348878343
231.0	1328321.3215964506
231.1	1328348.2740619897
231.2	1328375.192342023
231.3	1328402.076494001
231.4	1328428.9265752553
231.5	1328455.7426429978
231.6	1328482.524754319
231.7	1328509.2729661937
231.8	1328535.9873354759
231.9	1328562.6679189005
232.0	1328589.314773087
232.1	1328615.9279545338
232.2	1328642.507519624
232.3	1328669.0535246227
232.4	1328695.5660256788
232.5	1328722.0450788233
232.6	1328748.4907399707
232.7	1328774.9030649208
232.8	1328801.2821093565
232.9	1328827.6279288463
233.0	1328853.9405788423
233.1	1328880.2201146812
233.2	1328906.4665915868
233.3	1328932.6800646675
233.4	1328958.8605889173
233.5	1328985.0082192167
233.6	1329011.1230103334
233.7	1329037.2050169206
233.8	1329063.2542935193
233.9	1329089.2708945568
234.0	1329115.2548743498
234.1	1329141.2062871014
234.2	1329167.1251869032
234.3	1329193.0116277349
234.4	1329218.8656634656
234.5	1329244.6873478529
234.6	1329270.4767345437
234.7	1329296.2338770737
234.8	1329321.9588288702
234.9	1329347.6516432487
235.0	1329373.3123734153
235.1	1329398.9410724677
235.2	1329424.5377933935
235.3	1329450.1025890722
235.4	1329475.6355122733
235.5	1329501.1366156598
235.6	1329526.6059517846
235.7	1329552.0435730952
235.8	1329577.4495319286
235.9	1329602.8238805172
236.0	1329628.1666709848
236.1	1329653.4779553488
236.2	1329678.75778552
236.3	1329704.0062133037
236.4	1329729.223290398
236.5	1329754.4090683958
236.6	1329779.5635987855
236.7	1329804.6869329477
236.8	1329829.7791221612
236.9	1329854.8402175985
237.0	1329879.8702703267
237.1	1329904.8693313103
237.2	1329929.8374514095
237.3	1329954.7746813803
237.4	1329979.6810718754
237.5	1330004.5566734448
237.6	1330029.4015365348
237.7	1330054.2157114898
237.8	1330078.9992485521
237.9	1330103.7521978598
238.0	1330128.474609451
238.1	1330153.1665332604
238.2	1330177.8280191242
238.3	1330202.4591167744
238.4	1330227.059875843
238.5	1330251.6303458621
238.6	1330276.1705762616
238.7	1330300.6806163732
238.8	1330325.1605154274
238.9	1330349.610322555
239.0	1330374.030086788
239.1	1330398.4198570577
239.2	1330422.779682198
239.3	1330447.1096109436
239.4	1330471.4096919296
239.5	1330495.679973694
239.6	1330519.9205046762
239.7	1330544.1313332182
239.8	1330568.3125075635
239.9	1330592.4640758596
240.0	1330616.5860861551
240.1	1330640.6785864036
240.2	1330664.7416244603
240.3	1330688.7752480851
240.4	1330712.7795049418
240.5	1330736.7544425973
240.6	1330760.7001085228
240.7	1330784.6165500963
240.8	1330808.5038145967
240.9	1330832.3619492115
241.0	1330856.1910010297
241.1	1330879.9910170494
241.2	1330903.7620441723
241.3	1330927.5041292065
241.4	1330951.2173188652
241.5	1330974.9016597692
241.6	1330998.5571984455
241.7	1331022.1839813276
241.8	1331045.782054756
241.9	1331069.3514649782
242.0	1331092.89225815
242.1	1331116.404480334
242.2	1331139.8881775008
242.3	1331163.3433955288
242.4	1331186.770180206
242.5	1331210.168577227
242.6	1331233.538632197
242.7	1331256.8803906292
242.8	1331280.1938979458
242.9	1331303.4791994782
243.0	1331326.7363404692
243.1	1331349.9653660685
243.2	1331373.1663213386
243.3	1331396.339251251
243.4	1331419.4842006867
243.5	1331442.6012144396
243.6	1331465.690337213
243.7	1331488.7516136216
243.8	1331511.7850881908
243.9	1331534.7908053591
244.0	1331557.7688094752
244.1	1331580.7191448002
