T [K]	C_m [J/m^3/K]
110.1	1721.4524495677324
110.2	1721.4524495677324
110.3	1721.4524495677324
110.4	1721.4524495677324
110.5	1721.4524495677324
110.6	1721.4524495677324
110.7	1721.4524495677324
110.8	1721.4524495677324
110.9	1721.4524495677324
111.0	1721.4524495677324
111.1	1721.4524495677324
111.2	1721.4524495677324
111.3	1721.4524495677324
111.4	1721.4524495677324
111.5	1721.4524495677324
111.6	1721.4524495677324
111.7	1721.4524495677324
111.8	1721.4524495677324
111.9	1721.4524495677324
112.0	1721.4524495677324
112.1	1721.4524495677324
112.2	1721.4524495677324
112.3	1721.4524495677324
112.4	1721.4524495677324
112.5	1721.4524495677324
112.6	1721.4524495677324
